,created_at,favorite_count,full_text,id_str,lang,location,quote_count,reply_count,retweet_count,username,keyword
25,Fri Jun 21 07:54:44 +0000 2024,0,hallo kak dri halte kalideres jis busway transit dmna rutenya gimana,1804060370166047114,in,,0,2,0,sunkissedboyhae,Transjakarta
26,Fri Jun 21 07:50:17 +0000 2024,0,lotte avenue stasiun tebet rute tercepat nya,1804059249049506060,in,,0,2,0,liliyayz,Transjakarta
27,Fri Jun 21 07:50:13 +0000 2024,1,live tracking transjakarta gmaps mati,1804059233559941506,in,,0,0,0,hahandhika,Transjakarta
28,Fri Jun 21 07:34:34 +0000 2024,1,zaman batu gw harap apk ente rilis all platforms reliable,1804055293636063411,in,INDONESIA,0,0,0,MiyaHaE_1,Transjakarta
29,Fri Jun 21 07:31:09 +0000 2024,0,info halte kp rambutan halte jcc,1804054433770410358,in,,0,4,0,dpr2397,Transjakarta
30,Fri Jun 21 07:26:36 +0000 2024,1,inalillahi kirain,1804053287689462127,in,city never sleep,0,0,0,SajaSusanto,Transjakarta
31,Fri Jun 21 07:02:06 +0000 2024,0,siang grogol mo prj jurusan,1804047124415549590,in,,0,2,0,Yunitaw71886903,Transjakarta
32,Fri Jun 21 06:53:30 +0000 2024,1,yup it s dead alright maunya sih aplikasi udah stabil,1804044960133689545,in,Space,0,2,0,pieshie,Transjakarta
33,Fri Jun 21 06:42:54 +0000 2024,0,stasiun tebet or cawang klo halte bnn rutenya kek thx u,1804042291126182386,in,"Way Sulan, Lampung Selatan",0,0,0,Ahmad_Iftah23,Transjakarta
34,Fri Jun 21 06:40:35 +0000 2024,0,siang tj melewati gerbang tol kebon jeruk arah jakarta,1804041710684770761,in,,0,1,0,dkchewbacca,Transjakarta
35,Fri Jun 21 06:29:08 +0000 2024,2,this is actually sucks cuz gw jamsostek halte tenda pinggir jalan situ cmn bus doang a d klo kyk gini gw nya bsa schedule jamsostek widya chandra kecewa,1804038826740048204,in,,0,1,0,jupitersbadest,Transjakarta
36,Fri Jun 21 06:14:16 +0000 2024,0,rute tj kalideres monas pagi jam yah,1804035085710066151,in,"DKI Jakarta, Indonesia",0,0,0,Pipih211,Transjakarta
37,Fri Jun 21 06:03:55 +0000 2024,0,halo kp rambutan stasiun gambir rute,1804032482423234725,in,« she/her » 04즈,0,3,0,jangkurihao,Transjakarta
38,Fri Jun 21 02:32:47 +0000 2024,720,bangga semalem bus p jarang mudah ditrack live eh pagi disuntik mati kabarnya sampe faktor ego sektoral kebangetan sih kado ulang jakarta membagongkan,1803979346971140493,in,"Jakarta, ID | Breda, NL",59,18,275,adriansyahyasin,Transjakarta
39,Fri Jun 21 02:32:21 +0000 2024,0,hai tap pakai kartu bs engga makasih,1803979238879695102,in,"Depok, Jawa Barat",0,1,0,eka39koernia,Transjakarta
40,Fri Jun 21 02:29:31 +0000 2024,5,menguji coba fitur live tracking aplikasinya normal gmaps dihapus fiturnya sampe aplikasinya bener² udah fix,1803978527638982863,in,,0,0,0,Galih_Raka97,Transjakarta
41,Fri Jun 21 02:21:37 +0000 2024,9,live trackingnya maintenance kah lucu sih fitur dinonaktifkan,1803976536015671333,in,,0,2,6,BahasBus,Transjakarta
42,Fri Jun 21 02:21:14 +0000 2024,19,tolong balikin masak main eksklusif eksklusifan aplikasi,1803976440914022527,in,"Bogor, Jawa Barat",0,1,8,shinmuhammad,Transjakarta
43,Fri Jun 21 02:06:07 +0000 2024,1,hai nyala live tracking notif gmaps,1803972635120091486,in,Indonesia,0,0,0,cmayarosari,Transjakarta
44,Fri Jun 21 02:04:20 +0000 2024,0,halo rute busway loca house cempaka putih halte tugas gimana yaa halte terdekat gpp,1803972189705900039,in,DONT DO PRIVATE QRT ,0,1,0,prettyairi11,Transjakarta
45,Fri Jun 21 01:56:27 +0000 2024,0,kak aeon jgc busway ngga makasih,1803970205682667805,in,,0,1,0,taxaccchy,Transjakarta
46,Fri Jun 21 01:42:10 +0000 2024,25,pagi fitur live tracking google maps terpantau dipakai rute tj bekasi dipantau posisinya semoga,1803966609490633160,in,"Bekasi, Jawa Barat",3,2,11,tfbekasiraya,Transjakarta
47,Fri Jun 21 01:35:40 +0000 2024,2,horeee menyambut ulang kota jakarta fitur live tracking google maps hilang,1803964975247200690,in,AD - H - AB - G - B - ?,0,0,0,affansf,Transjakarta
48,Fri Jun 21 01:19:58 +0000 2024,7,layanan tracking live stop google,1803961021461365115,in,"Jakarta Pusat, DKI Jakarta",0,0,0,DTKJ_Official,Transjakarta
49,Fri Jun 21 01:18:38 +0000 2024,366,pantauan mimin pagi google maps gabisa tracking semoga maintenance,1803960688421015941,in,Jakarta Capital Region,89,51,106,TfJakarta,Transjakarta
50,Fri Jun 21 01:18:05 +0000 2024,21,kemunduran lho,1803960550646534345,in,"Houston, TX",0,0,2,Adrianussatrio,Transjakarta
