,created_at,favorite_count,full_text,id_str,lang,location,quote_count,reply_count,retweet_count,username,keyword
54,Thu Apr 25 11:59:14 +0000 2024,1,angkot depok mahal jakarta depok deket k jkt k gue tau pake gojek busway td kaget,1783465790840402165,in,writter accound. ,0,1,0,iskharaa,Jakarta-angkot.csv
55,Sat May 11 08:42:44 +0000 2024,3,angkutan kota angkot a jurusan jatinegara gandaria menabrak ojek daring online penumpangnya berhenti jalan raya bogor kecamatan ciracas jakarta timur jumat peristiwa kecelakaan jumat siang angkot a,1789214548047888522,in,,0,0,1,inilahdotcom,Jakarta-angkot.csv
56,Sat Mar 16 05:41:55 +0000 2024,2,dips plis bantu isi kuisioner skripsiku memenuhi kriteria ragam transportasi jakarta tj angkot mrt lrt krl saldo e wallet orang beruntung dm yaa plis mah memenuhi syarat,1768875320742945003,in,⬇️BACA RULES JANGAN NGELANGGAR,0,54,0,undipmenfess,Jakarta-angkot.csv
57,Thu May 09 17:27:35 +0000 2024,0,sd kurleb km dianter sepeda smp kurleb km kopaja sma kurleb km kuliah anjg gatau brp km jakarta tangerang serpong krl angkot,1788621855232033009,in,Bersamamu,0,0,0,hihanghoeng___,Jakarta-angkot.csv
58,Sun May 26 13:24:08 +0000 2024,4,sopir angkot tanjung priok jakarta utara gabung jaklingko kepastian,1794721181607837940,in,Jakarta,0,0,3,kompascom,Jakarta-angkot.csv
59,Sun Apr 21 05:29:47 +0000 2024,1,kartini ibuku rekan sepantarannya tetangga plesir jakarta beli eksrim ragusa charter angkot stasiun krl propublictransport,1781918233404281339,in,"Imodi-Ijasi, Nigeria",0,2,0,berketepatan,Jakarta-angkot.csv
60,Sat May 04 08:11:55 +0000 2024,2,kpd warga jakarta angkot jaklingko pake ktm unpad,1786670074813931907,in,Jatinangor,0,12,0,DraftAnakUnpad,Jakarta-angkot.csv
61,Sun Mar 17 06:30:02 +0000 2024,1,aloo adakah bantu isi kuisioner penelitian ta kriterianya ragam transportasi jakarta tj angkot mrt lrt krl e money orang beruntung dm yaa work,1769249819116315114,in,AUTOBASE — ❌POST MANUAL❌,0,8,0,worksfess,Jakarta-angkot.csv
62,Fri Mar 29 16:10:42 +0000 2024,0,keren yah jakarta angkot gratisnya,1773744604183236776,in,-,0,0,0,rithieriii,Jakarta-angkot.csv
63,Wed Apr 24 01:39:27 +0000 2024,0,lalinsonora banyaknya angkot ngetem ruas jalan margonda raya kepadatan lalin mengarah jakarta via,1782947429412991281,in,"Jakarta Barat, DKI Jakarta",0,0,0,SonoraFM92,Jakarta-angkot.csv
64,Sat Mar 09 03:58:28 +0000 2024,1,angkot memenuhi standar angkot jakarta,1766312571605586212,in,he/him,0,0,0,CIPlNANG,Jakarta-angkot.csv
65,Thu May 30 02:01:36 +0000 2024,12,anies bikin jaklingko angkot gratis jakarta sampe jalan beliau udh banget projek pendidikan sampe berjalan pikir situ hebat nepatin janji nya,1795998969132171475,in,,0,0,2,mxxnblxxsms,Jakarta-angkot.csv
66,Sat Mar 30 08:59:05 +0000 2024,1,angkot terbakar jakarta selatan kerugian capai rp juta news,1773998372221075586,in,Jakarta,0,0,0,liputan6dotcom,Jakarta-angkot.csv
67,Thu Apr 25 05:36:21 +0000 2024,0,peringati angkutan nasional intip karoseri suzuki carry warnai angkot jakarta,1783369434671067300,in,Cipinang Jaya 2 ,0,0,0,ruangotodotcom,Jakarta-angkot.csv
68,Fri May 10 11:13:30 +0000 2024,0,need respondents bantu isi kuisionerku yuk butuh responden deadlinenya besok kriterianya transportasi jakarta mrt krl lrt angkot tj saldo rpk orang beruntung linknya twt,1788890100132356375,in,,0,1,0,convomf,Jakarta-angkot.csv
69,Tue Apr 16 08:00:58 +0000 2024,7,an btl jakarta kerja kenek supir angkot tembak kena jaring pemprov dki pas disisir bang ali kaget bang ali lulus sma jaman lulus sma pencapaian oke dimasukin dishub,1780144336958869802,in,,0,1,2,ardi_tama1,Jakarta-angkot.csv
70,Thu May 16 13:34:43 +0000 2024,2,angkot memotret warung madura jakarta kesabaran kehematan bertahan membiayai anak anaknya mondok sekolah menerima masukan konsumen melayani teleponan,1791099966338850970,in,Paiton Probolinggo Jawa Timur,0,0,0,AhmadSahidah,Jakarta-angkot.csv
71,Tue Apr 23 03:39:41 +0000 2024,0,angkot jakarta tuh ongkosnya sih dikasih goceng marah kagak bogor segituan,1782615301663989825,in,Indonesia ,0,2,0,aylmhrn,Jakarta-angkot.csv
72,Sat Mar 23 21:53:15 +0000 2024,3,serius gue turun petukangan kayak sedih arah bayoran ama arah tangerang angkotnya beuuuhh perbedaan jakarta vs tangerang keliatan angkotnya warga jakarta ngantri udah spot nya angkot nya ngetem langsung jalan,1771656481407934621,in,,0,1,0,terwiwiwiwi,Jakarta-angkot.csv
73,Fri May 24 17:30:15 +0000 2024,0,angkot angkot jakarta bekasi kota normal peminatnya,1794058344316956930,in,17412,0,0,0,Abubakr_Saliim,Jakarta-angkot.csv
74,Sat Apr 27 07:42:33 +0000 2024,0,gua tauuu tiket flight domestik harganya ngotak kocak ngetweet ngecompare tiket padang jakarta jt padang rban kayak lu naek angkot jakarta bogor jakarta jogja beda gasih ongkosnya appleapple,1784125970120859837,in,,0,0,0,awalakuberjumpa,Jakarta-angkot.csv
75,Sun Jun 02 15:06:18 +0000 2024,0,pemerintah pemerintah berulang ulang gua bilang jakarta percontohan angkot terintegrasi tuh susah sistem transmum,1797283608442679413,in,🏳️‍🌈,0,0,0,sertrawline,Jakarta-angkot.csv
76,Sun Mar 17 14:51:19 +0000 2024,2,aloo adakah bantu isi kuisioner penelitian ta butuh responden kriterianya ragam transportasi jakarta tj angkot mrt lrt krl e money orang beruntung cont,1769375968907727111,in,,0,15,0,collegemenfess,Jakarta-angkot.csv
